        ID,333,444,555,222,333bf,333oh,333ft,333fm,minx,pyram,sq1,clock,skewb,666,777,444bf,555bf,333mbf,name (competitor w/o WCAID)
2014ARAK01, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2016YASO01, X , X ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2010INAH01, X , X , X ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2012HINO01, X ,   ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
0         , X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,   X ,   ,   ,     ,     ,      ,栗林 雄一
2012KOMA02, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2007SHIR01, X ,   ,   , X ,     ,     ,   X ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
0         , X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,梅津 倫
0         , X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,梅津 諭
2009OKAY01,   ,   ,   ,   ,     ,     ,     ,   X ,     ,    ,   ,     ,     ,   ,   ,   X ,   X ,    X ,
2008UENO01, X , X , X ,   ,     ,   X ,     ,   X ,     ,    , X ,     ,     ,   ,   ,     ,     ,      ,
2016AOYA01, X ,   ,   , X ,   X ,   X ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,    X ,
2014HIGU01, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2014ISHI01, X ,   ,   , X ,     ,   X ,     ,   X ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2015MUKA01, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2006TOMI01, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2012HIRA01, X ,   ,   ,   ,   X ,     ,     ,   X ,     ,    ,   ,     ,   X ,   ,   ,   X ,   X ,    X ,
2015KAWA02, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2016TAKI01, X ,   ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2016IBAR06, X , X ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2012KOBA01, X ,   , X , X ,     ,   X ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2015NUPU01, X ,   ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2016ENOK01, X , X ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
